Technique,Target,Model,MAPE,RMSE
BoW,PartCosts,Linear Regression,2.5614928362724974,1.0212627173486646
BoW,PartCosts,Ridge Regression,2.1783148996556854,1.0174056610334898
BoW,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
BoW,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
BoW,PartCosts,Decision Tree Regressor,7.517166283254171,1.451501894638654
BoW,PartCosts,Random Forest Regressor,1.7256866034946425,1.0226035519545293
BoW,PartCosts,Extra Trees Regressor,2.3333283224693586,1.140821077479354
BoW,PartCosts,Gradient Boosting Regressor,1.2399113915687334,1.0221697513181858
BoW,PartCosts,AdaBoost Regressor,1.1651265477782826,1.0054610458783575
BoW,PartCosts,K-Nearest Neighbors Regressor,2.0383623264343695,1.1039472952154428
BoW,PartCosts,Support Vector Regressor,2.903624311772055,1.038501328580715
BoW,PartCosts,MLP Regressor,7.594479154582769,1.3461964322279973
BoW,PartCosts,XGBoost Regressor,3.5519553380451687,1.104792815704657
BoW,PartCosts,LGBM Regressor,1.878127373103012,1.04060998669293
BoW,LaborHours,Linear Regression,1.2499748236889452,1.0284720206851934
BoW,LaborHours,Ridge Regression,1.2521830359126247,1.0295218652824767
BoW,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
BoW,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
BoW,LaborHours,Decision Tree Regressor,3.3137095305318254,1.4403572432480836
BoW,LaborHours,Random Forest Regressor,1.1780622488182388,1.0267766422907763
BoW,LaborHours,Extra Trees Regressor,1.8283948012737967,1.1379182916003625
BoW,LaborHours,Gradient Boosting Regressor,1.164181643741819,1.0217362560458667
BoW,LaborHours,AdaBoost Regressor,1.0192853883028203,1.0039780906724913
BoW,LaborHours,K-Nearest Neighbors Regressor,1.7907012168777148,1.1267907673641835
BoW,LaborHours,Support Vector Regressor,1.3980499306019543,1.068266053850436
BoW,LaborHours,MLP Regressor,3.1382939767583466,1.4545174374370164
BoW,LaborHours,XGBoost Regressor,1.8452263974555678,1.1096764865685127
BoW,LaborHours,LGBM Regressor,1.3409720676177104,1.0530914449841722
TFIDF,PartCosts,Linear Regression,2.933642351840243,1.0290854972636887
TFIDF,PartCosts,Ridge Regression,1.9798289827923594,1.01747271195152
TFIDF,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
TFIDF,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
TFIDF,PartCosts,Decision Tree Regressor,10.159121510163002,1.430907626305418
TFIDF,PartCosts,Random Forest Regressor,2.5614236105914063,1.0266088402346307
TFIDF,PartCosts,Extra Trees Regressor,3.3722727920564677,1.0626325143399422
